OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape__Area,Shape__Length
42460,2019,CA,CDF,TUU,CREEK_4,00000684,2019/08/31 00:00:00+00,2019/09/06 00:00:00+00,2,,754,754.42572021,2,1,,4726905.29188037,11193.4591287128
42461,2019,CA,CCO,SBC,MCMURRAY,00011619,2019/09/10 00:00:00+00,2019/09/14 00:00:00+00,14,,200,355.32287598,1,1,,2129982.65174414,13024.5537905459
42462,2019,CA,CCO,SBC,REAL,00013465,2019/10/17 00:00:00+00,2019/10/21 00:00:00+00,14,,420,420.65859985,3,1,,2510906.66847847,8608.85786435206
42463,2019,CA,CCO,SBC,BAR,,2019/11/13 00:00:00+00,2019/11/13 00:00:00+00,18,Slopover on Bar M VMP,20,51.62649918,1,1,,309784.662616555,3828.80681807345
42464,2019,CA,CCO,SBC,SWEENEY,00010380,2019/08/14 00:00:00+00,2019/08/14 00:00:00+00,14,,17,16.98027229,1,1,,101744.94386137,1363.54399059173
42465,2019,CA,CCO,KRN,REFUGE,01918282,2019/05/07 00:00:00+00,2019/05/09 00:00:00+00,2,,3332.43095788,3332.4309082,1,1,,20496944.2913844,23920.5194713345
42466,2019,CA,CCO,KRN,VULCAN,01917674,2019/05/03 00:00:00+00,2019/05/03 00:00:00+00,14,,169.90307279,169.90307617,1,1,,1027203.53089368,5634.19984680482
42467,2019,CA,CCO,KRN,GROVE,01948217,2019/11/15 00:00:00+00,2019/11/15 00:00:00+00,14,,14,14.53587914,1,1,,89493.08306604,1852.82075121596
42468,2019,CA,CCO,KRN,ENTRANCE,01921595,2019/05/30 00:00:00+00,2019/05/30 00:00:00+00,14,,50,53.31026459,1,1,,326539.381224565,2563.56167605844
42469,2019,CA,CCO,KRN,BARREL,01919623,2019/05/16 00:00:00+00,2019/05/16 00:00:00+00,14,,56,55.86135101,1,1,,343362.57979117,3353.22617724179
42470,2019,CA,CCO,KRN,KECKS,01917930,2019/05/05 00:00:00+00,2019/05/05 00:00:00+00,14,,13,13.33648872,1,1,,81958.83421228,1904.12608608107
42471,2019,CA,CCO,KRN,CORCORAN,01940150,2019/09/24 00:00:00+00,2019/09/24 00:00:00+00,3,,,2.8977313,1,1,,17826.32531385,1283.32964268061
42472,2019,CA,CCO,KRN,PHILLIPS,01945610,2019/10/30 00:00:00+00,2019/10/30 00:00:00+00,14,,4.7,4.65333414,1,1,,28577.60169149,979.738635809052
42473,2019,CA,CCO,KRN,RIDGE,01940848,2019/09/29 00:00:00+00,2019/09/29 00:00:00+00,14,,25,38.80555344,1,1,,234588.38567482,2135.89662029119
