0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
22.3,d_20200601,53.3,48.4,25.5,12.5,1.1,0,24.4,15.9,0.9,0,0
21.8,d_20200701,50.2,43,17.3,5.7,0,0,27.9,19,2,0,0
42.2,d_20200801,45.7,33.5,8.6,1.3,0.2,0,12,2.6,0,0,0
31.2,d_20200901,66.6,51.5,30.3,15.2,5.9,0,2.1,0.1,0,0,0
35.6,d_20201001,56.7,50.8,36.6,27.6,15.9,0,7.7,2.2,0,0,0
36.3,d_20201101,45.4,36.3,21.8,12,2.5,0,18.3,11,2.1,0.5,0
15.9,d_20201201,84,72.7,40.9,24.1,8.3,0,0.2,0,0,0,0
11.2,d_20210101,88.8,75,42.8,27.2,17.5,0,0,0,0,0,0
1.3,d_20210201,98.7,92.6,73.3,54.6,28.2,0,0,0,0,0,0
0.1,d_20210301,99.8,97.8,79.3,60.6,34.8,0,0,0,0,0,0
0,d_20210401,99.9,98.6,86.2,69.6,40.2,0,0,0,0,0,0
0.2,d_20210501,99.8,98.2,91,77.7,50,0,0,0,0,0,0
