Order Date,Order ID,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
1/22/2021,113-5678579-5110631,UPS(1ZE9F3114296564340),$409.67 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$409.67 
1/24/2021,112-1398862-0512262,AMZN_US(TBA155799224504),$45.98 ,$0.00 ,$0.00 ,$2.30 ,$0.00 ,$43.68 
1/29/2021,113-7326259-9237041,AMZN_US(TBA151725126204),$34.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$34.99 
1/30/2021,111-5922472-5292237,AMZN_US(TBA153372045804),$45.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$45.98 
2/5/2021,113-9168998-1225016,UPS(1ZY8F505YW18300605),$59.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$59.98 
2/5/2021,113-6702682-2022658,USPS(9361289670090599139802),$39.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$39.98 
2/5/2021,113-0898368-4641832,USPS(9361289670090599139802),$79.96 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$79.96 
2/7/2021,113-7492358-9635430,AMZN_US(TBA161548338904),$27.15 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$27.15 
2/8/2021,113-2962160-5249039,AMZN_US(TBA162536139104),$16.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$16.98 
2/27/2021,111-0297044-7131418,AMZN_US(TBA181422015504),$146.99 ,$0.00 ,$12.13 ,$0.00 ,$12.13 ,$159.12 
2/27/2021,111-4336840-2947421,AMZN_US(TBA181527708904),$19.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$19.99 
2/27/2021,111-4336840-2947421,AMZN_US(TBA181528628604),$19.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$19.99 
2/28/2021,113-9944138-3279426,AMZN_US(TBA182491129304),$39.97 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$39.97 
3/9/2021,113-1096626-0593043,USPS(92108901755477000019609332),$529.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$529.98 
3/9/2021,113-3500671-2654656,FedEx(073210684101948),$22.19 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$22.19 
3/9/2021,113-6099598-2478650,USPS(9361289670090614921658),$69.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$69.99 
3/9/2021,113-6099598-2478650,UPS(1Z454R3A0307482523),$19.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$19.99 
3/9/2021,113-6099598-2478650,USPS(9361289670090615289702),$264.96 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$264.96 
3/9/2021,111-1298543-8943412,USPS(92108901755477000019611649),$529.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$529.98 
3/9/2021,111-6976698-8424212,UPS(1Z806YR40218342745),$347.96 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$347.96 
3/9/2021,111-6976698-8424212,AMZN_US(TBA193227678304),$69.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$69.99 
3/9/2021,111-6976698-8424212,AMZN_US(TBA000526368704),$184.32 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$184.32 
3/9/2021,111-9276321-2703462,UPS(1Z806YR40218342745),$449.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$449.00 
3/11/2021,111-7071808-2681821,UPS(1Z45EW870200112681),$50.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$50.99 
3/11/2021,111-2954775-0691426,UPS(1Z6A464R0306182747),$139.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$139.99 
3/19/2021,111-9827561-7730658,AMZN_US(TBA009413787804),$29.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$29.99 
3/19/2021,111-9827561-7730658,AMZN_US(TBA009299465404),$29.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$29.99 
